List Sr. No.,Name,Country,Origin,State Association,DOB,Age,Age Group,Specialism,R/L,Test caps,ODI caps,T20 caps,IPL,C/U/A,Reserve Price Rs Lakh
209,Bharat Sharma,India,Indian,CAP,15-11-1995,27,Senior,WICKETKEEPER,RHB,0,0,0,0,Uncapped,20
210,Vivek Singh,India,Indian,RSPB,01-11-1993,29,Senior,WICKETKEEPER,LHB,0,0,0,0,Uncapped,20
211,Abhijeet Tomar,India,Indian,RCA,14-03-1995,28,Senior,WICKETKEEPER,RHB,0,0,0,1,Uncapped,20
212,Basit Bashir,India,Indian,JKCA,05-02-2003,20,Youngester,BOWLER,LHB,0,0,0,0,Uncapped,20
213,Nandre Burger,South Africa,Foreigner,FOREIGNER,11-08-1995,27,Senior,BOWLER,LHB,0,0,0,0,Uncapped,20
214,Rasikh Dar,India,Indian,JKCA,05-04-2000,23,Junior,BOWLER,RHB,0,0,0,3,Uncapped,20
215,Sakib Hussain,India,Indian,BICA,14-12-2004,18,Youngester,BOWLER,RHB,0,0,0,0,Uncapped,20
216,Waseem Khanday,India,Indian,JKCA,20-01-2000,23,Junior,BOWLER,RHB,0,0,0,0,Uncapped,20
217,Ravi Kiran Majeti,India,Indian,CSCSCA,01-02-1991,32,Senior,BOWLER,RHB,0,0,0,0,Uncapped,20
218,Lukman Hussain Meriwala,India,Indian,BCA,11-12-1991,31,Senior,BOWLER,LHB,0,0,0,1,Uncapped,20
219,Anuj Raj,India,Indian,BICA,01-11-2000,22,Junior,BOWLER,RHB,0,0,0,0,Uncapped,20
220,Ankit Singh Rajpoot,India,Indian,UPCA,04-12-1993,29,Senior,BOWLER,RHB,0,0,0,29,Uncapped,20
221,Avinash Singh,India,Indian,JKCA,05-07-1998,24,Junior,BOWLER,RHB,0,0,0,0,Uncapped,20
222,Prince Yadav,India,Indian,DDCA,12-12-2001,21,Youngester,BOWLER,RHB,0,0,0,0,Uncapped,20
223,Prithviraj Yarra,India,Indian,ACA,20-02-1998,25,Junior,BOWLER,LHB,0,0,0,2,Uncapped,20
224,Mushtaq Beg,India,Indian,OCA,15-07-1998,24,Junior,BOWLER,RHB,0,0,0,0,Uncapped,20
225,Rocky Bhasker,India,Indian,TNCA,07-03-1993,30,Senior,BOWLER,RHB,0,0,0,0,Uncapped,20
226,Sanjith Devaraj,India,Indian,KSCA,16-09-1997,25,Junior,BOWLER,RHB,0,0,0,0,Uncapped,20
227,Raghav Goyal,India,Indian,HCA,20-06-2001,21,Youngester,BOWLER,LHB,0,0,0,0,Uncapped,20
228,Allah Mohammad,Afghanistan,Foreigner,FOREIGNER,15-07-2007,15,Youngester,BOWLER,RHB,0,0,0,0,Uncapped,20
229,Lalit Mohan,India,Indian,ACA,19-03-1990,33,Senior,BOWLER,LHB,0,0,0,0,Uncapped,20
230,Bhuwan Rohilla,India,Indian,HCA,10-10-2001,21,Youngester,BOWLER,RHB,0,0,0,0,Uncapped,20
231,Aman Sharma,India,Indian,JKCA,03-04-1997,26,Junior,BOWLER,LHB,0,0,0,0,Uncapped,20
232,Manav Suthar,India,Indian,RCA,03-08-2002,20,Youngester,BOWLER,LHB,0,0,0,0,Uncapped,20
233,Tom Curran,England,Foreigner,FOREIGNER,12-03-1995,28,Senior,ALL-ROUNDER,RHB,2,28,30,13,Capped,75
234,Moises Henriques,Australia,Foreigner,FOREIGNER,01-02-1987,36,SuperSenior,ALL-ROUNDER,RHB,4,16,24,62,Capped,100
235,Afif Hossain,Bangladesh,Foreigner,FOREIGNER,22-09-1999,23,Junior,ALL-ROUNDER,LHB,0,19,60,0,Capped,50
236,Scott Kuggeleijn,New Zealand,Foreigner,FOREIGNER,03-01-1992,31,Senior,ALL-ROUNDER,RHB,0,2,18,2,Capped,50
237,Sisanda Magala,South Africa,Foreigner,FOREIGNER,07-01-1991,32,Senior,ALL-ROUNDER,RHB,0,3,4,0,Capped,50
238,Craig Overton,England,Foreigner,FOREIGNER,10-04-1994,28,Senior,ALL-ROUNDER,RHB,8,7,0,0,Capped,200
239,Darcy Short,Australia,Foreigner,FOREIGNER,09-08-1990,32,Senior,ALL-ROUNDER,LHB,0,8,23,7,Capped,75
240,Dhananjaya Silva,Sri Lanka,Foreigner,FOREIGNER,06-09-1991,31,Senior,ALL-ROUNDER,RHB,45,60,33,0,Capped,50
241,Dunith Wellalage,Sri Lanka,Foreigner,FOREIGNER,09-01-2003,20,Youngester,ALL-ROUNDER,LHB,1,5,0,0,Capped,50
242,Varun Aaron,India,Indian,BCA,29-10-1989,33,Senior,BOWLER,RHB,9,9,0,52,Capped,50
243,Sheldon Cottrel,West Indies,Foreigner,FOREIGNER,19-08-1989,33,Senior,BOWLER,RHB,2,38,42,6,Capped,50
244,Nathan Coulter-Nile,Australia,Foreigner,FOREIGNER,11-10-1987,35,SuperSenior,BOWLER,RHB,0,32,28,39,Capped,150
245,Daryn Dupavillon,South Africa,Foreigner,FOREIGNER,15-07-1994,28,Senior,BOWLER,RHB,0,2,0,0,Capped,50
246,Matt Henry,New Zealand,Foreigner,FOREIGNER,14-12-1991,31,Senior,BOWLER,RHB,17,64,6,2,Capped,100
247,Dhawal Kulkarni,India,Indian,MCA,10-12-1988,34,SuperSenior,BOWLER,RHB,0,12,2,92,Capped,50
248,Tymal Mills,England,Foreigner,FOREIGNER,12-08-1992,30,Senior,BOWLER,RHB,0,0,13,10,Capped,200
249,David Payne,England,Foreigner,FOREIGNER,15-02-1991,32,Senior,BOWLER,RHB,0,1,0,0,Capped,75
250,Barinder Sran,India,Indian,PCA,10-12-1992,30,Senior,BOWLER,LHB,0,6,2,24,Capped,50
251,Glenton Stuurman,South Africa,Foreigner,FOREIGNER,10-08-1992,30,Senior,BOWLER,RHB,1,0,1,0,Capped,50
252,Anirudh Balachander,India,Indian,TNCA,02-09-1994,28,Senior,BATSMAN,LHB,0,0,0,0,Uncapped,20
253,Gourav Choudhary,India,Indian,PCA,28-10-1998,24,Junior,BATSMAN,RHB,0,0,0,0,Uncapped,20
254,Saurav Chuahan,India,Indian,GUCA,27-05-2000,22,Junior,BATSMAN,LHB,0,0,0,0,Uncapped,20
255,Kumar Deobrat,India,Indian,JSCA,24-10-1992,30,Senior,BATSMAN,RHB,0,0,0,0,Uncapped,20
256,Chirag Gandhi,India,Indian,GUCA,18-06-1990,32,Senior,BATSMAN,RHB,0,0,0,0,Uncapped,20
257,Arman Jaffer,India,Indian,MCA,25-10-1998,24,Junior,BATSMAN,RHB,0,0,0,0,Uncapped,20
258,Madhav Kaushik,India,Indian,UPCA,03-01-1998,25,Junior,BATSMAN,RHB,0,0,0,0,Uncapped,20
259,Priyank Panchal,India,Indian,GUCA,09-04-1990,33,Senior,BATSMAN,RHB,0,0,0,0,Uncapped,20
260,Ayush Pandey,India,Indian,CSCSCA,19-09-2003,19,Youngester,BATSMAN,LHB,0,0,0,0,Uncapped,20
261,Rohan Patil,India,Indian,KSCA,18-08-2001,21,Youngester,BATSMAN,LHB,0,0,0,0,Uncapped,20
262,Sanjay Ramaswamy,India,Indian,VCA,01-04-1995,28,Senior,BATSMAN,RHB,0,0,0,0,Uncapped,20
263,Siddharth Yadav,India,Indian,UPCA,13-08-2003,19,Youngester,BATSMAN,LHB,0,0,0,0,Uncapped,20
264,Rehan Ahmed,England,Foreigner,FOREIGNER,13-08-2004,18,Youngester,ALL-ROUNDER,RHB,0,0,0,0,Uncapped,40
265,Prayas Barman,India,Indian,CAB,25-10-2002,20,Youngester,ALL-ROUNDER,RHB,0,0,0,1,Uncapped,20
266,Rahul Buddhi,India,Indian,HYCA,20-09-1997,25,Junior,ALL-ROUNDER,RHB,0,0,0,0,Uncapped,20
267,Vaisakh Chandran,India,Indian,KCA,31-05-1996,26,Junior,ALL-ROUNDER,RHB,0,0,0,0,Uncapped,20
268,Writtick Chatterjee,India,Indian,CAB,28-09-1992,30,Senior,ALL-ROUNDER,RHB,0,0,0,0,Uncapped,20
269,Prashant Chopra,India,Indian,HPCA,07-10-1992,30,Senior,ALL-ROUNDER,RHB,0,0,0,2,Uncapped,20
270,Harsh Dubey,India,Indian,VCA,23-07-2002,20,Youngester,ALL-ROUNDER,LHB,0,0,0,0,Uncapped,20
271,Tanush Kotian,India,Indian,MCA,16-10-1998,24,Junior,ALL-ROUNDER,RHB,0,0,0,0,Uncapped,20
272,Ninad Rathva,India,Indian,BCA,10-03-1999,24,Junior,ALL-ROUNDER,LHB,0,0,0,0,Uncapped,20
273,B. Surya,India,Indian,TNCA,19-09-1996,26,Junior,ALL-ROUNDER,RHB,0,0,0,0,Uncapped,20
274,Jordan Thompson,England,Foreigner,FOREIGNER,09-10-1996,26,Junior,ALL-ROUNDER,LHB,0,0,0,0,Uncapped,40
275,Shivank Vashisth,India,Indian,DDCA,17-09-1995,27,Senior,ALL-ROUNDER,LHB,0,0,0,0,Uncapped,20
276,Ankush Bains,India,Indian,HPCA,16-12-1995,27,Senior,WICKETKEEPER,RHB,0,0,0,0,Uncapped,20
277,Christopher Benjamin,England,Foreigner,FOREIGNER,29-04-1999,23,Junior,WICKETKEEPER,RHB,0,0,0,0,Uncapped,20
278,Connor Esterhuizen,South Africa,Foreigner,FOREIGNER,31-05-2001,21,Youngester,WICKETKEEPER,RHB,0,0,0,0,Uncapped,20
279,Mohd Arslan Khan,India,Indian,UTCA,15-09-1999,23,Junior,WICKETKEEPER,LHB,0,0,0,0,Uncapped,20
280,Mamidi Krishna,India,Indian,ACA,17-07-2001,21,Youngester,WICKETKEEPER,RHB,0,0,0,0,Uncapped,20
281,Fazil Makaya,India,Indian,JKCA,11-12-1996,26,Junior,WICKETKEEPER,RHB,0,0,0,0,Uncapped,20
282,Akshdeep Nath,India,Indian,UPCA,10-05-1993,29,Senior,WICKETKEEPER,RHB,0,0,0,14,Uncapped,20
283,Deepak Punia,India,Indian,DDCA,27-09-1993,29,Senior,WICKETKEEPER,RHB,0,0,0,0,Uncapped,20
284,Kunal Rathore,India,Indian,RCA,09-10-2002,20,Youngester,WICKETKEEPER,LHB,0,0,0,0,Uncapped,20
285,Ateev Saini,India,Indian,JKCA,07-04-1996,27,Senior,WICKETKEEPER,RHB,0,0,0,0,Uncapped,20
286,Bipin Saurabh,India,Indian,BICA,20-11-1999,23,Junior,WICKETKEEPER,RHB,0,0,0,0,Uncapped,20
287,B.R. Sharath,India,Indian,KSCA,28-09-1996,26,Junior,WICKETKEEPER,RHB,0,0,0,0,Uncapped,20
288,Yashovardhan Singh,India,Indian,UPCA,21-08-2002,20,Youngester,WICKETKEEPER,RHB,0,0,0,0,Uncapped,20
289,Lakshay Thareja,India,Indian,DDCA,15-09-1997,25,Junior,WICKETKEEPER,RHB,0,0,0,0,Uncapped,20
290,Mohit Avasthi,India,Indian,MCA,18-11-1992,30,Senior,BOWLER,RHB,0,0,0,0,Uncapped,20
291,Ottneil Baartman,South Africa,Foreigner,FOREIGNER,18-03-1993,30,Senior,BOWLER,RHB,0,0,0,0,Uncapped,20
292,Gurnoor Singh Brar,India,Indian,PCA,25-05-2000,22,Junior,BOWLER,LHB,0,0,0,0,Uncapped,20
293,Shahrukh Dar,India,Indian,JKCA,12-06-1993,29,Senior,BOWLER,RHB,0,0,0,0,Uncapped,20
294,Thomas Helm,England,Foreigner,FOREIGNER,07-05-1994,28,Senior,BOWLER,RHB,0,0,0,0,Uncapped,40
295,Pankaj Jaswal,India,Indian,HPCA,20-09-1995,27,Senior,BOWLER,RHB,0,0,0,0,Uncapped,20
296,Venkatesh Muralidhara,India,Indian,KSCA,12-05-2000,22,Junior,BOWLER,LHB,0,0,0,0,Uncapped,20
297,Geet Puri,India,Indian,CAB,06-11-1994,28,Senior,BOWLER,RHB,0,0,0,0,Uncapped,20
298,E. Sanketh,India,Indian,HYCA,08-10-1999,23,Junior,BOWLER,LHB,0,0,0,0,Uncapped,20
299,Ajay Sarkar,India,Indian,TCA,10-03-1997,26,Junior,BOWLER,RHB,0,0,0,0,Uncapped,20
300,Ashok Sharma,India,Indian,RCA,17-06-2002,20,Youngester,BOWLER,RHB,0,0,0,0,Uncapped,20
301,Kanwar Singh,India,Indian,HPCA,16-06-1991,31,Senior,BOWLER,RHB,0,0,0,0,Uncapped,20
302,Fabian Allen,West Indies,Foreigner,FOREIGNER,07-05-1995,27,Senior,ALL-ROUNDER,RHB,0,20,34,5,Capped,50
303,Carlos Brathwaite,West Indies,Foreigner,FOREIGNER,18-07-1988,34,SuperSenior,ALL-ROUNDER,RHB,3,44,41,16,Capped,75
304,Roston Chase,West Indies,Foreigner,FOREIGNER,22-03-1992,31,Senior,ALL-ROUNDER,RHB,43,33,6,0,Capped,100
305,Rahkeem Cornwall,West Indies,Foreigner,FOREIGNER,01-02-1993,30,Senior,ALL-ROUNDER,RHB,9,0,0,0,Capped,100
306,Karim Janat,Afghanistan,Foreigner,FOREIGNER,11-08-1998,24,Junior,ALL-ROUNDER,RHB,0,1,41,0,Capped,50
307,Keshav Maharaj,South Africa,Foreigner,FOREIGNER,07-02-1990,33,Senior,ALL-ROUNDER,RHB,45,26,25,0,Capped,50
308,Pawan Negi,India,Indian,DDCA,06-01-1993,30,Senior,ALL-ROUNDER,LHB,0,0,1,50,Capped,50
309,Keemo Paul,West Indies,Foreigner,FOREIGNER,21-02-1998,25,Junior,ALL-ROUNDER,RHB,3,23,23,8,Capped,50
310,Shivam Chaudhary,India,Indian,RSPB,04-08-1997,25,Junior,ALL-ROUNDER,RHB,0,0,0,0,Uncapped,20
311,Ashwin Das,India,Indian,MPCA,16-12-1995,27,Senior,ALL-ROUNDER,RHB,0,0,0,0,Uncapped,20
312,James Fuller,England,Foreigner,FOREIGNER,24-01-1990,33,Senior,ALL-ROUNDER,RHB,0,0,0,0,Uncapped,40
313,Chirag Jani,India,Indian,SCA,09-11-1989,33,Senior,ALL-ROUNDER,RHB,0,0,0,0,Uncapped,20
314,Akshay Karnewar,India,Indian,VCA,12-10-1992,30,Senior,ALL-ROUNDER,LHB,0,0,0,0,Uncapped,20
315,Bhagmender Lather,India,Indian,UTCA,18-06-1997,25,Junior,ALL-ROUNDER,LHB,0,0,0,0,Uncapped,20
316,Lone Muzaffar,India,Indian,JKCA,05-09-1997,25,Junior,ALL-ROUNDER,RHB,0,0,0,0,Uncapped,20
317,Pulkit Narang,India,Indian,SSCB,18-06-1994,28,Senior,ALL-ROUNDER,RHB,0,0,0,0,Uncapped,20
318,Rohit Rayudu,India,Indian,HYCA,29-07-1994,28,Senior,ALL-ROUNDER,LHB,0,0,0,0,Uncapped,20
319,Sameer Rizvi,India,Indian,UPCA,06-12-2003,19,Youngester,ALL-ROUNDER,RHB,0,0,0,0,Uncapped,20
320,Tunish Sawkar,India,Indian,GCA,25-09-1998,24,Junior,ALL-ROUNDER,RHB,0,0,0,0,Uncapped,20
321,Sonu Yadav,India,Indian,TNCA,11-11-1999,23,Junior,ALL-ROUNDER,RHB,0,0,0,0,Uncapped,20
322,Auqib Dar,India,Indian,JKCA,04-11-1996,26,Junior,BOWLER,RHB,0,0,0,0,Uncapped,20
323,Mukhtar Hussain,India,Indian,ASCA,11-01-1999,24,Junior,BOWLER,RHB,0,0,0,0,Uncapped,20
324,Kulwant Khejroliya,India,Indian,DDCA,13-03-1992,31,Senior,BOWLER,LHB,0,0,0,5,Uncapped,20
325,Ashwani Kumar,India,Indian,PCA,29-08-2001,21,Youngester,BOWLER,LHB,0,0,0,0,Uncapped,20
326,Hemant Kumar,India,Indian,RCA,28-10-1995,27,Senior,BOWLER,LHB,0,0,0,0,Uncapped,20
327,Nathan McAndrew,Australia,Foreigner,FOREIGNER,14-07-1993,29,Senior,BOWLER,RHB,0,0,0,0,Uncapped,20
328,Rajesh Mohanty,India,Indian,OCA,20-05-2000,22,Junior,BOWLER,LHB,0,0,0,0,Uncapped,20
329,Ravi Sharma,India,Indian,RCA,14-10-1996,26,Junior,BOWLER,RHB,0,0,0,0,Uncapped,20
330,Vikash Singh,India,Indian,JSCA,28-06-1994,28,Senior,BOWLER,LHB,0,0,0,0,Uncapped,20
331,Ruben Trumpelmann,Namibia,Foreigner,FOREIGNER,01-02-1998,25,Junior,BOWLER,RHB,0,0,0,0,Associate,20
332,Koushik Vasuki,India,Indian,KSCA,19-09-1992,30,Senior,BOWLER,RHB,0,0,0,0,Uncapped,20
333,Vasu Vats,India,Indian,UPCA,08-09-2002,20,Youngester,BOWLER,RHB,0,0,0,0,Uncapped,20
334,Shubham Agrawal,India,Indian,CSCSCA,21-11-1993,29,Senior,ALL-ROUNDER,RHB,0,0,0,0,Uncapped,20
335,Baba Aparajith,India,Indian,TNCA,08-07-1994,28,Senior,ALL-ROUNDER,RHB,0,0,0,0,Uncapped,20
336,Anshul Kamboj,India,Indian,HCA,06-12-2000,22,Junior,ALL-ROUNDER,RHB,0,0,0,0,Uncapped,20
337,Azim Kazi,India,Indian,MACA,14-10-1993,29,Senior,ALL-ROUNDER,LHB,0,0,0,0,Uncapped,20
338,Dev Lakra,India,Indian,DDCA,27-01-2003,20,Youngester,ALL-ROUNDER,RHB,0,0,0,0,Uncapped,20
339,Ajay Mandal,India,Indian,CSCSCA,25-02-1996,27,Senior,ALL-ROUNDER,LHB,0,0,0,0,Uncapped,20
340,Abdul P A,India,Indian,KCA,09-10-1998,24,Junior,ALL-ROUNDER,RHB,0,0,0,0,Uncapped,20
341,Jitender Pal,India,Indian,HCA,20-12-1999,23,Junior,ALL-ROUNDER,RHB,0,0,0,0,Uncapped,20
342,Ritwik Roy Chowdhury,India,Indian,CAB,20-11-1995,27,Senior,ALL-ROUNDER,RHB,0,0,0,0,Uncapped,20
343,Utkarsh Singh,India,Indian,JSCA,07-05-1998,24,Junior,ALL-ROUNDER,LHB,0,0,0,0,Uncapped,20
344,Shubham Singh,India,Indian,CSCSCA,05-01-1997,26,Junior,ALL-ROUNDER,RHB,0,0,0,0,Uncapped,20
345,Avneesh Sudha,India,Indian,CAU,20-11-2001,21,Youngester,ALL-ROUNDER,RHB,0,0,0,0,Uncapped,20
346,Asad Jamil Ahmed,India,Indian,JKCA,31-08-1999,23,Junior,BOWLER,RHB,0,0,0,0,Uncapped,20
347,Bandaru Ayyappa,India,Indian,ACA,27-10-1992,30,Senior,BOWLER,RHB,0,0,0,0,Uncapped,20
348,Aashish Bhatt,India,Indian,JKCA,14-08-2003,19,Youngester,BOWLER,RHB,0,0,0,0,Uncapped,20
349,McKenny Clarke,West Indies,Foreigner,FOREIGNER,05-06-2003,19,Youngester,BOWLER,RHB,0,0,0,0,Uncapped,20
350,Shubham Kapse,India,Indian,VCA,22-07-1994,28,Senior,BOWLER,RHB,0,0,0,0,Uncapped,20
351,Gourav Koul,India,Indian,JKCA,16-04-1998,24,Junior,BOWLER,RHB,0,0,0,0,Uncapped,20
352,Raunak Kumar,India,Indian,JSCA,19-12-2002,20,Youngester,BOWLER,RHB,0,0,0,0,Uncapped,20
353,Trilok Nag,India,Indian,TNCA,28-05-2000,22,Junior,BOWLER,RHB,0,0,0,0,Uncapped,20
354,Atal Bihari Rai,India,Indian,UPCA,05-08-1999,23,Junior,BOWLER,RHB,0,0,0,0,Uncapped,20
355,Ramon Simmonds,West Indies,Foreigner,FOREIGNER,16-10-2001,21,Youngester,BOWLER,LHB,0,0,0,0,Uncapped,20
356,Rajeev Singh,India,Indian,JKCA,16-06-1995,27,Senior,BOWLER,RHB,0,0,0,0,Uncapped,20
357,Mohd. Wasim,India,Indian,JKCA,06-05-1999,23,Junior,BOWLER,RHB,0,0,0,0,Uncapped,20
358,Atharva Ankolekar,India,Indian,MCA,26-09-2000,22,Junior,ALL-ROUNDER,LHB,0,0,0,0,Uncapped,20
359,Khizar Dafedar,India,Indian,MCA,10-10-1997,25,Junior,ALL-ROUNDER,RHB,0,0,0,0,Uncapped,20
360,Naman Dhir,India,Indian,PCA,31-12-1999,23,Junior,ALL-ROUNDER,RHB,0,0,0,0,Uncapped,20
361,Sahil Dhiwan,India,Indian,RCA,03-07-1997,25,Junior,ALL-ROUNDER,RHB,0,0,0,0,Uncapped,20
362,Sampark Gupta,India,Indian,JKCA,19-06-2001,21,Youngester,ALL-ROUNDER,LHB,0,0,0,0,Uncapped,20
363,Jordan Hermann,South Africa,Foreigner,FOREIGNER,04-12-2001,21,Youngester,ALL-ROUNDER,LHB,0,0,0,0,Uncapped,20
364,Hayden Kerr,Australia,Foreigner,FOREIGNER,10-07-1996,26,Junior,ALL-ROUNDER,RHB,0,0,0,0,Uncapped,20
365,Salman Khan,India,Indian,RCA,26-12-1998,24,Junior,ALL-ROUNDER,RHB,0,0,0,0,Uncapped,20
366,Sairaj Patil,India,Indian,MCA,31-10-1996,26,Junior,ALL-ROUNDER,RHB,0,0,0,0,Uncapped,20
367,Divyaansh Saxena,India,Indian,MCA,13-02-2001,22,Junior,ALL-ROUNDER,LHB,0,0,0,0,Uncapped,20
368,Purnank Tyagi,India,Indian,UPCA,20-01-2001,22,Junior,ALL-ROUNDER,RHB,0,0,0,0,Uncapped,20
369,Prince Yadav,India,Indian,UPCA,02-01-1998,25,Junior,ALL-ROUNDER,RHB,0,0,0,0,Uncapped,20
370,Deepraj Gaonkar,India,Indian,GCA,04-04-1998,25,Junior,ALL-ROUNDER,RHB,0,0,0,0,Uncapped,20
371,Shubham Garhwal,India,Indian,RCA,14-05-1995,27,Senior,ALL-ROUNDER,LHB,0,0,0,0,Uncapped,20
372,Benny Howell,England,Foreigner,FOREIGNER,05-10-1988,34,SuperSenior,ALL-ROUNDER,RHB,0,0,0,0,Uncapped,40
373,Deepesh Nailwal,India,Indian,CAU,04-11-1997,25,Junior,ALL-ROUNDER,LHB,0,0,0,0,Uncapped,20
374,Arjun Rapria,India,Indian,DDCA,16-01-2000,23,Junior,ALL-ROUNDER,RHB,0,0,0,0,Uncapped,20
375,Shashwat Rawat,India,Indian,BCA,06-04-2001,22,Junior,ALL-ROUNDER,LHB,0,0,0,0,Uncapped,20
376,Sumit Ruikar,India,Indian,CSCSCA,06-06-1990,32,Senior,ALL-ROUNDER,LHB,0,0,0,0,Uncapped,20
377,Shivam Sharma,India,Indian,DDCA,09-09-1993,29,Senior,ALL-ROUNDER,RHB,0,0,0,5,Uncapped,20
378,Rajandeep Singh,India,Indian,JSCA,05-09-2002,20,Youngester,ALL-ROUNDER,RHB,0,0,0,0,Uncapped,20
379,Anunay Singh,India,Indian,BICA,03-01-1993,30,Senior,ALL-ROUNDER,RHB,0,0,0,0,Uncapped,20
380,Digvesh Singh,India,Indian,DDCA,15-12-1999,23,Junior,ALL-ROUNDER,RHB,0,0,0,0,Uncapped,20
381,Pranshu Vijayran,India,Indian,DDCA,18-11-1995,27,Senior,ALL-ROUNDER,LHB,0,0,0,0,Uncapped,20
382,Prerit Dutta,India,Indian,PCA,22-09-1998,24,Junior,ALL-ROUNDER,LHB,0,0,0,0,Uncapped,20
383,Ramakrishna Ghosh,India,Indian,MACA,28-08-1997,25,Junior,ALL-ROUNDER,RHB,0,0,0,0,Uncapped,20
384,Shubhang Hegde,India,Indian,KSCA,30-03-2001,22,Junior,ALL-ROUNDER,LHB,0,0,0,0,Uncapped,20
385,Shamshuzama Kazi,India,Indian,MACA,10-11-1994,28,Senior,ALL-ROUNDER,RHB,0,0,0,0,Uncapped,20
386,Ayaz Khan,India,Indian,MCA,10-09-2002,20,Youngester,ALL-ROUNDER,LHB,0,0,0,0,Uncapped,20
387,Amit Pachhara,India,Indian,SSCB,08-09-1995,27,Senior,ALL-ROUNDER,RHB,0,0,0,0,Uncapped,20
388,Akul Pandove,India,Indian,PCA,21-12-1997,25,Junior,ALL-ROUNDER,RHB,0,0,0,0,Uncapped,20
389,Mohit Rathee,India,Indian,SSCB,13-01-1999,24,Junior,ALL-ROUNDER,RHB,0,0,0,0,Uncapped,20
390,Garv Sangwan,India,Indian,HCA,06-03-2004,19,Youngester,ALL-ROUNDER,RHB,0,0,0,0,Uncapped,20
391,Shubham Sharma,India,Indian,RCA,26-03-1997,26,Junior,ALL-ROUNDER,LHB,0,0,0,0,Uncapped,20
392,Nehal Wadhera,India,Indian,PCA,04-09-2000,22,Junior,ALL-ROUNDER,LHB,0,0,0,0,Uncapped,20
393,Amit Yadav,India,Indian,GCA,10-10-1989,33,Senior,ALL-ROUNDER,RHB,0,0,0,0,Uncapped,20
394,Amit Ali,India,Indian,TCA,28-10-2002,20,Youngester,ALL-ROUNDER,RHB,0,0,0,0,Uncapped,20
395,Rishabh Chauhan,India,Indian,MPCA,05-09-1999,23,Junior,ALL-ROUNDER,RHB,0,0,0,0,Uncapped,20
396,Matthew Forde,West Indies,Foreigner,FOREIGNER,29-04-2002,20,Youngester,ALL-ROUNDER,RHB,0,0,0,0,Uncapped,20
397,Sammar Gajjar,India,Indian,SCA,14-08-2003,19,Youngester,ALL-ROUNDER,LHB,0,0,0,0,Uncapped,20
398,Rajneesh Gurbani,India,Indian,VCA,28-01-1993,30,Senior,ALL-ROUNDER,RHB,0,0,0,0,Uncapped,20
399,Divyansh Joshi,India,Indian,UPCA,24-09-2001,21,Youngester,ALL-ROUNDER,RHB,0,0,0,0,Uncapped,20
400,Dhruv Patel,India,Indian,BCA,09-12-1997,25,Junior,ALL-ROUNDER,RHB,0,0,0,0,Uncapped,20
401,Jack Prestwidge,Australia,Foreigner,FOREIGNER,28-02-1996,27,Senior,ALL-ROUNDER,RHB,0,0,0,0,Uncapped,20
402,Aditya Sarvate,India,Indian,VCA,10-12-1989,33,Senior,ALL-ROUNDER,RHB,0,0,0,0,Uncapped,20
403,Sagar Solanki,India,Indian,MPCA,01-01-2000,23,Junior,ALL-ROUNDER,LHB,0,0,0,0,Uncapped,20
404,Prenelan Subrayen,South Africa,Foreigner,FOREIGNER,23-09-1993,29,Senior,ALL-ROUNDER,RHB,0,0,0,0,Uncapped,20
405,Bhagath Varma,India,Indian,HYCA,21-09-1998,24,Junior,ALL-ROUNDER,RHB,0,0,0,0,Uncapped,20
